group,fips_code,clinton_votes,sanders_votes,clinton_margin,clinton_percent
Colorado,08045,439,734,-295,-0.2514919011082694
Colorado,08047,74,173,-99,-0.4008097165991903
Colorado,08049,94,187,-93,-0.3309608540925267
Colorado,08051,141,481,-340,-0.5466237942122186
Colorado,08053,3,10,-7,-0.5384615384615384
Colorado,08055,93,150,-57,-0.2345679012345679
Colorado,08057,15,12,3,0.1111111111111111
Colorado,08059,5478,8281,-2803,-0.20372120066865324
Colorado,08061,5,2,3,0.42857142857142855
Colorado,08063,11,16,-5,-0.18518518518518517
Colorado,08065,53,165,-112,-0.5137614678899083
Colorado,08067,819,1466,-647,-0.2831509846827133
Colorado,08069,3281,6744,-3463,-0.3454364089775561
Colorado,08071,80,106,-26,-0.13978494623655913
Colorado,08073,20,14,6,0.17647058823529413
Colorado,08075,77,70,7,0.047619047619047616
Colorado,08077,791,1095,-304,-0.16118769883351008
Colorado,08079,16,25,-9,-0.21951219512195122
Colorado,08081,21,28,-7,-0.14285714285714285
Colorado,08083,198,412,-214,-0.35081967213114756
Colorado,08085,210,258,-48,-0.10256410256410256
Colorado,08087,70,87,-17,-0.10828025477707007
Colorado,08089,78,94,-16,-0.09302325581395349
Colorado,08091,86,156,-70,-0.2892561983471074
Colorado,08093,118,231,-113,-0.3237822349570201
Colorado,08095,11,18,-7,-0.2413793103448276
Colorado,08097,349,421,-72,-0.09350649350649351
Colorado,08099,40,18,22,0.3793103448275862
Colorado,08101,1260,1140,120,0.05
Colorado,08103,8,18,-10,-0.38461538461538464
Colorado,08105,47,59,-12,-0.11320754716981132
Colorado,08107,230,406,-176,-0.27672955974842767
Colorado,08109,47,219,-172,-0.6466165413533834
Colorado,08111,11,27,-16,-0.42105263157894735
Colorado,08113,89,329,-240,-0.5741626794258373
Colorado,08115,13,8,5,0.23809523809523808
Colorado,08117,276,419,-143,-0.20575539568345325
Colorado,08119,126,219,-93,-0.26956521739130435
Colorado,08121,10,12,-2,-0.09090909090909091
Colorado,08123,1051,1754,-703,-0.25062388591800355
Colorado,08125,45,33,12,0.15384615384615385
Connecticut,09001,46649,29595,17054,0.22367661717643356
Connecticut,09003,48096,40445,7651,0.08641194474876046
Connecticut,09005,6653,9029,-2376,-0.15151128682565998
Connecticut,09007,8517,9838,-1321,-0.0719694906020158
Connecticut,09009,40628,36275,4353,0.05660377358490566
Connecticut,09011,10516,13135,-2619,-0.11073527546403958
Connecticut,09013,5620,8734,-3114,-0.21694301240072453
Connecticut,09015,3396,5359,-1963,-0.2242147344374643
Delaware,10001,7338,4980,2358,0.1914271797369703
Delaware,10003,38580,25738,12842,0.19966416866196088
Delaware,10005,10032,5941,4091,0.25611970199712014
Florida,12001,17733,17590,143,0.004048353763836594
Florida,12003,654,805,-151,-0.10349554489376285
Florida,12005,5209,4131,1078,0.11541755888650963
Florida,12007,1056,908,148,0.07535641547861507
Florida,12009,31835,20083,11752,0.22635694749412535
Florida,12011,132527,48330,84197,0.4655446015360202
Florida,12013,437,545,-108,-0.109979633401222
Florida,12015,8125,4634,3491,0.27361078454424326
Florida,12017,6863,4776,2087,0.17931093736575307
Florida,12019,5345,3698,1647,0.1821298241733938
Florida,12021,12712,6127,6585,0.3495408461170975
Florida,12023,2299,1676,623,0.15672955974842767
Florida,12027,987,726,261,0.15236427320490367
Florida,12029,409,459,-50,-0.0576036866359447
Florida,12031,58632,26716,31916,0.3739513521113559
Florida,12033,16765,9318,7447,0.2855116359314496
Florida,12035,6152,2977,3175,0.34779274838426993
Florida,12037,665,647,18,0.013719512195121951
Florida,12039,7446,1944,5502,0.5859424920127796
Florida,12041,428,578,-150,-0.14910536779324055
Florida,12043,387,313,74,0.10571428571428572
Florida,12045,568,520,48,0.04411764705882353
Florida,12047,758,479,279,0.2255456750202102
Florida,12049,529,393,136,0.1475054229934924
Florida,12051,1156,647,509,0.2823072656683306
Florida,12053,8882,5512,3370,0.23412532999861052
Florida,12055,3711,2054,1657,0.28742411101474413
Florida,12057,68936,38505,30431,0.2832345194106533
Florida,12059,339,619,-280,-0.29227557411273486
Florida,12061,6897,3926,2971,0.27450799223875083
Florida,12063,2798,1840,958,0.2065545493747305
Florida,12065,1671,762,909,0.37361282367447596
Florida,12067,295,501,-206,-0.25879396984924624
Florida,12069,15914,8465,7449,0.30554985848476146
Florida,12071,27940,15624,12316,0.2827104949040492
Florida,12073,27333,19866,7467,0.15820250429034513
Florida,12075,1570,1354,216,0.07387140902872777
Florida,12077,316,392,-76,-0.10734463276836158
Florida,12079,1542,741,801,0.3508541392904074
Florida,12081,18116,10165,7951,0.28114281673208164
Florida,12083,18220,9892,8328,0.2962435970404098
Florida,12085,6523,4101,2422,0.22797439759036145
Florida,12086,129467,42009,87458,0.510030558212228
Florida,12087,4830,3739,1091,0.12731940716536352
Florida,12089,2910,2060,850,0.1710261569416499
Florida,12091,4559,3782,777,0.09315429804579786
Florida,12093,1150,784,366,0.1892450879007239
Florida,12095,66654,36639,30015,0.2905811623246493
Florida,12097,16512,7273,9239,0.388438091233971
Florida,12099,103369,39314,64055,0.4489322484108128
Florida,12101,21760,14493,7267,0.20045237635506027
Florida,12103,63699,39742,23957,0.23160062257712125
Florida,12105,29328,15473,13855,0.3092564898104953
Florida,12107,3182,2747,435,0.07336819025130713
Florida,12109,9734,6953,2781,0.1666566788518008
Florida,12111,17554,8091,9463,0.36899980503022034
Florida,12113,3938,3602,336,0.04456233421750663
Florida,12115,25881,15776,10105,0.24257627769642556
Florida,12117,22069,15100,6969,0.1874949554736474
Florida,12119,7022,3022,4000,0.39824771007566706
Florida,12121,1475,1550,-75,-0.024793388429752067
Florida,12123,983,907,76,0.04021164021164021
Florida,12125,336,472,-136,-0.16831683168316833
Florida,12127,26276,16170,10106,0.23809075060076332
Florida,12129,1659,1424,235,0.07622445669802141
Florida,12131,1515,1361,154,0.05354659248956885
Florida,12133,858,781,77,0.04697986577181208
Georgia,13001,490,142,348,0.5506329113924051
Georgia,13003,201,49,152,0.608
Georgia,13005,113,58,55,0.3216374269005848
Georgia,13007,303,48,255,0.7264957264957265
Georgia,13009,3034,762,2272,0.5985247629083246
Georgia,13011,172,169,3,0.008797653958944282
Georgia,13013,1457,879,578,0.24743150684931506
Georgia,13015,2216,1490,726,0.1958985429033999
Georgia,13017,779,179,600,0.6263048016701461
Georgia,13019,325,146,179,0.38004246284501064
Georgia,13021,12944,2632,10312,0.6620441705187468
Georgia,13023,370,98,272,0.5811965811965812
Georgia,13025,137,123,14,0.05384615384615385
Georgia,13027,714,198,516,0.5657894736842105
Georgia,13029,893,501,392,0.2812051649928264
Georgia,13031,1910,1221,689,0.22005748961992974
Georgia,13033,1659,184,1475,0.8003255561584374
Georgia,13035,922,191,731,0.6567834681042228
Georgia,13037,499,61,438,0.7821428571428571
Georgia,13039,1405,688,717,0.3425704730052556
Georgia,13043,434,110,324,0.5955882352941176
Georgia,13045,3173,1933,1240,0.2428515471993733
Georgia,13047,1082,1026,56,0.026565464895635674
Georgia,13049,275,84,191,0.532033426183844
Georgia,13051,19898,7496,12402,0.45272687449806526
Georgia,13053,182,40,142,0.6396396396396397
Georgia,13055,566,302,264,0.30414746543778803
Georgia,13057,4837,4438,399,0.0430188679245283
Georgia,13059,7089,6845,244,0.017511123869671307
Georgia,13061,297,44,253,0.7419354838709677
Georgia,13063,25130,5551,19579,0.6381473876340407
Georgia,13065,167,38,129,0.6292682926829268
Georgia,13067,39277,22390,16887,0.2738417630174972
Georgia,13069,1094,309,785,0.5595153243050606
Georgia,13071,1035,302,733,0.5482423335826477
Georgia,13073,4805,2333,2472,0.3463154945362847
Georgia,13075,580,171,409,0.5446071904127829
Georgia,13077,4536,2233,2303,0.34022750775594623
Georgia,13079,493,120,373,0.6084828711256117
Georgia,13081,729,172,557,0.6182019977802442
Georgia,13083,241,230,11,0.02335456475583864
Georgia,13085,312,268,44,0.07586206896551724
Georgia,13087,1316,333,983,0.5961188599151
Georgia,13089,82348,32572,49776,0.4331360946745562
Georgia,13091,579,141,438,0.6083333333333333
Georgia,13093,737,91,646,0.7801932367149759
Georgia,13095,8891,1435,7456,0.7220608173542514
Georgia,13097,9375,3139,6236,0.49832187949496565
Georgia,13099,671,76,595,0.7965194109772423
Georgia,13101,32,36,-4,-0.058823529411764705
Georgia,13103,1178,620,558,0.3103448275862069
Georgia,13105,805,257,548,0.5160075329566854
Georgia,13107,755,144,611,0.6796440489432704
Georgia,13109,347,85,262,0.6064814814814815
Georgia,13111,545,356,189,0.2097669256381798
Georgia,13113,7257,2918,4339,0.42643734643734643
Georgia,13115,2555,1356,1199,0.3065712094093582
Georgia,13117,3701,3142,559,0.08168931755078182
Georgia,13119,352,203,149,0.26846846846846845
Georgia,13121,82576,33320,49256,0.425001725685097
Georgia,13123,489,421,68,0.07472527472527472
Georgia,13125,38,19,19,0.3333333333333333
Georgia,13127,2870,1277,1593,0.3841331082710393
Georgia,13129,776,553,223,0.16779533483822423
Georgia,13131,887,261,626,0.5452961672473867
Georgia,13133,1076,169,907,0.7285140562248996
Georgia,13135,37465,18883,18582,0.32977213033293107
Georgia,13137,608,553,55,0.047372954349698536
Georgia,13139,3482,2245,1237,0.21599441243233805
